q_id,item_id,scenario_id,condition,qform,marker,continuation,prompt,context,speakerA,qud,speakerB,anchor,target,raw_logprob,normalized_logprob,normalized_surprisal
20,Crit2,2,whq-acc-repeated,whq,acc,repeated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업도 들었어.,-63.265688240387355,-9.03795546291248,13.03901352611915
21,Crit2,2,whq-acc-contradictory,whq,acc,contradictory,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업만 들었어.,-61.260016301428195,-8.751430900204028,12.625645960406787
22,Crit2,2,whq-nun-negated,whq,nun,negated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업은 안 들었어.,-71.06818900478618,-8.883523625598272,12.816215480270571
23,Crit2,2,whq-nun-repeated,whq,nun,repeated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업도 들었어.,-63.03910163249708,-9.005585947499583,12.992314186756985
24,Crit2,2,whq-nun-contradictory,whq,nun,contradictory,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업만 들었어.,-61.856687707479495,-8.83666967249707,12.748619514485423
25,Crit2,2,whq-zero-negated,whq,zero,negated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업 들었어.,실습 수업은 안 들었어.,-68.35261901626055,-8.544077377032568,12.32649806081647
26,Crit2,2,whq-zero-repeated,whq,zero,repeated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업 들었어.,실습 수업도 들었어.,-62.272539477213044,-8.896077068173293,12.834326269619638
27,Crit2,2,whq-zero-contradictory,whq,zero,contradictory,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업 들었어.,실습 수업만 들었어.,-60.3754627555748,-8.625066107939258,12.44334010126344
37,Crit3,3,whq-acc-negated,whq,acc,negated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어. 메기는 못 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,메기는 못 잡았어.,-84.55269431953273,-12.07895633136182,17.426250398370044
38,Crit3,3,whq-acc-repeated,whq,acc,repeated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어. 메기도 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,메기도 잡았어.,-76.81499954813398,-12.802499924688997,18.470103152330143
39,Crit3,3,whq-acc-contradictory,whq,acc,contradictory,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어. 메기만 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,메기만 잡았어.,-78.47313778721987,-13.078856297869978,18.868801121436405
40,Crit3,3,whq-nun-negated,whq,nun,negated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어. 메기는 못 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어는 잡았어.,메기는 못 잡았어.,-85.24916811442114,-12.178452587774448,17.56979315408356
41,Crit3,3,whq-nun-repeated,whq,nun,repeated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어. 메기도 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어는 잡았어.,메기도 잡았어.,-77.04196282316525,-12.840327137194208,18.524676284222064
42,Crit3,3,whq-nun-contradictory,whq,nun,contradictory,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어. 메기만 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어는 잡았어.,메기만 잡았어.,-78.93321600006396,-13.155536000010661,18.97942654745161
43,Crit3,3,whq-zero-negated,whq,zero,negated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어. 메기는 못 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어 잡았어.,메기는 못 잡았어.,-82.92568395617677,-11.846526279453824,17.090924715128814
44,Crit3,3,whq-zero-repeated,whq,zero,repeated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어. 메기도 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어 잡았어.,메기도 잡았어.,-74.91873008091082,-12.486455013485136,18.014146726238142
45,Crit3,3,whq-zero-contradictory,whq,zero,contradictory,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어. 메기만 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어 잡았어.,메기만 잡았어.,-76.68556390163218,-12.780927316938696,18.438980458109743
55,Crit4,4,whq-acc-negated,whq,acc,negated,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어. 가방은 안 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,가방은 안 샀어.,-69.30684042589952,-11.551140070983253,16.66477249702133
56,Crit4,4,whq-acc-repeated,whq,acc,repeated,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어. 가방도 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,가방도 샀어.,-69.61976220680154,-11.60329370113359,16.740014280603575
57,Crit4,4,whq-acc-contradictory,whq,acc,contradictory,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어. 가방만 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,가방만 샀어.,-66.86323024094264,-11.143871706823774,16.077208447737487
58,Crit4,4,whq-nun-negated,whq,nun,negated,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어. 가방은 안 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발은 샀어.,가방은 안 샀어.,-70.87080816697078,-11.811801361161796,17.040827247713633
59,Crit4,4,whq-nun-repeated,whq,nun,repeated,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어. 가방도 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발은 샀어.,가방도 샀어.,-70.36203458658032,-11.727005764430054,16.918493060819525
60,Crit4,4,whq-nun-contradictory,whq,nun,contradictory,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어. 가방만 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발은 샀어.,가방만 샀어.,-67.55279346177849,-11.258798910296415,16.243013354250703
61,Crit4,4,whq-zero-negated,whq,zero,negated,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어. 가방은 안 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발 샀어.,가방은 안 샀어.,-68.4687863891842,-11.411464398197367,16.4632630965603
62,Crit4,4,whq-zero-repeated,whq,zero,repeated,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어. 가방도 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발 샀어.,가방도 샀어.,-69.2725514481539,-11.545425241358984,16.65652774066287
63,Crit4,4,whq-zero-contradictory,whq,zero,contradictory,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어. 가방만 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발 샀어.,가방만 샀어.,-66.45918016602512,-11.076530027670854,15.980054941178434
73,Crit5,5,whq-acc-negated,whq,acc,negated,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어. 범퍼카는 안 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,범퍼카는 안 탔어.,-92.06771675734547,-13.152530965335066,18.97509119882743
74,Crit5,5,whq-acc-repeated,whq,acc,repeated,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어. 범퍼카도 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,범퍼카도 탔어.,-91.18370820419518,-13.02624402917074,18.7928976622941
75,Crit5,5,whq-acc-contradictory,whq,acc,contradictory,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어. 범퍼카만 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,범퍼카만 탔어.,-88.18217223562118,-12.59745317651731,18.174283225592443
76,Crit5,5,whq-nun-negated,whq,nun,negated,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어. 범퍼카는 안 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터는 탔어.,범퍼카는 안 탔어.,-92.65125908523625,-13.23589415503375,19.095358859198406
77,Crit5,5,whq-nun-repeated,whq,nun,repeated,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어. 범퍼카도 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터는 탔어.,범퍼카도 탔어.,-92.586477165732,-13.226639595104572,19.082007351482975
78,Crit5,5,whq-nun-contradictory,whq,nun,contradictory,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어. 범퍼카만 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터는 탔어.,범퍼카만 탔어.,-89.7356196450549,-12.819374235007842,18.494447636145562
79,Crit5,5,whq-zero-negated,whq,zero,negated,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어. 범퍼카는 안 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터 탔어.,범퍼카는 안 탔어.,-89.85923962866572,-12.83703423266653,18.519925627189863
80,Crit5,5,whq-zero-repeated,whq,zero,repeated,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어. 범퍼카도 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터 탔어.,범퍼카도 탔어.,-89.42165196086059,-12.774521708694369,18.42973911886177
81,Crit5,5,whq-zero-contradictory,whq,zero,contradictory,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어. 범퍼카만 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터 탔어.,범퍼카만 탔어.,-86.36400402909756,-12.33771486129965,17.79956004629907
91,Crit6,6,whq-acc-negated,whq,acc,negated,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료를 모았어. 설문 자료는 안 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료를 모았어.,설문 자료는 안 모았어.,-71.80123667377073,-10.257319524824391,14.798184011277687
92,Crit6,6,whq-acc-repeated,whq,acc,repeated,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료를 모았어. 설문 자료도 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료를 모았어.,설문 자료도 모았어.,-70.33108740753765,-10.047298201076808,14.495187289026115
93,Crit6,6,whq-acc-contradictory,whq,acc,contradictory,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료를 모았어. 설문 자료만 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료를 모았어.,설문 자료만 모았어.,-67.52982963856707,-9.647118519795296,13.91785004737675
94,Crit6,6,whq-nun-negated,whq,nun,negated,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료는 모았어. 설문 자료는 안 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료는 모았어.,설문 자료는 안 모았어.,-71.72895226206585,-10.24699318029512,14.783286245234798
95,Crit6,6,whq-nun-repeated,whq,nun,repeated,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료는 모았어. 설문 자료도 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료는 모았어.,설문 자료도 모았어.,-70.46102063415246,-10.065860090593208,14.521966434980953
96,Crit6,6,whq-nun-contradictory,whq,nun,contradictory,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료는 모았어. 설문 자료만 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료는 모았어.,설문 자료만 모았어.,-67.36234934193776,-9.623192763133966,13.883332476891933
97,Crit6,6,whq-zero-negated,whq,zero,negated,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료 모았어. 설문 자료는 안 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료 모았어.,설문 자료는 안 모았어.,-70.31196201532032,-10.044566002188617,14.491245559239399
98,Crit6,6,whq-zero-repeated,whq,zero,repeated,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료 모았어. 설문 자료도 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료 모았어.,설문 자료도 모았어.,-69.05695249245798,-9.865278927493998,14.232588985681982
99,Crit6,6,whq-zero-contradictory,whq,zero,contradictory,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료 모았어. 설문 자료만 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료 모았어.,설문 자료만 모았어.,-66.5072471949814,-9.501035313568773,13.707096530196585
109,Crit7,7,whq-acc-negated,whq,acc,negated,영환이는 진혁이와 지연이가 탁자와 소파를 옮겨야 했다는 것을 알고 있습니다. 영환: 진혁이는 뭘 옮겼어? 지연: 탁자를 옮겼어. 소파는 안 옮겼어.,영환이는 진혁이와 지연이가 탁자와 소파를 옮겨야 했다는 것을 알고 있습니다.,영환,진혁이는 뭘 옮겼어?,지연,탁자를 옮겼어.,소파는 안 옮겼어.,-78.44295075095951,-13.07382512515992,18.861542673517746
110,Crit7,7,whq-acc-repeated,whq,acc,repeated,영환이는 진혁이와 지연이가 탁자와 소파를 옮겨야 했다는 것을 알고 있습니다. 영환: 진혁이는 뭘 옮겼어? 지연: 탁자를 옮겼어. 소파도 옮겼어.,영환이는 진혁이와 지연이가 탁자와 소파를 옮겨야 했다는 것을 알고 있습니다.,영환,진혁이는 뭘 옮겼어?,지연,탁자를 옮겼어.,소파도 옮겼어.,-74.46661357659674,-12.411102262766123,17.90543568645848
