,q_id,item_id,scenario_id,condition,qform,marker,continuation,prompt,conversation,context,speakerA,qud,speakerB,anchor,target,instruction,top1_response,top1_logprob,top2_response,top2_logprob,top3_response,top3_logprob,top4_response,top4_logprob,top5_response,top5_logprob
10,14,Crit1,1,linkedq-nun-repeated,linkedq,nun,repeated,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥은 먹었어. 라면도 먹었어. 위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥은 먹었어. 라면도 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥은 먹었어.,라면도 먹었어.,위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,1,-0.71154433,4,-1.9146693,7,-2.2271693,동,-2.7271693,5,-2.7740443
11,15,Crit1,1,linkedq-nun-contradictory,linkedq,nun,contradictory,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥은 먹었어. 라면만 먹었어. 위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,동욱: 정아는 김밥이랑 라면 중에 뭘 먹었어? 지호: 김밥은 먹었어. 라면만 먹었어.,동욱이는 정아와 지호가 김밥과 라면을 먹으러 갔다는 것을 알고 있습니다.,동욱,정아는 김밥이랑 라면 중에 뭘 먹었어?,지호,김밥은 먹었어.,라면만 먹었어.,위의 대화에서 지호가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,1,-0.0023404467,지,-7.0492153,동,-7.4867153,3,-8.40859,2,-8.424215
12,19,Crit2,2,whq-acc-negated,whq,acc,negated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업은 안 들었어. 위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업은 안 들었어.,위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,7,-0.40819955,5,-1.3925745,4,-3.0800745,6,-3.3456995,지,-6.4394493
13,20,Crit2,2,whq-acc-repeated,whq,acc,repeated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업도 들었어. 위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업도 들었어.,위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,7,-0.05740396,5,-3.448029,6,-3.979279,4,-5.526154,지,-8.041779
14,21,Crit2,2,whq-acc-contradictory,whq,acc,contradictory,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업만 들었어. 위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업만 들었어.,위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,1,-0.0028489828,2,-6.674724,지,-7.268474,3,-7.643474,4,-9.487224
15,22,Crit2,2,whq-nun-negated,whq,nun,negated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업은 안 들었어. 위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업은 안 들었어.,위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,7,-0.027830116,6,-3.9809551,지,-5.324705,5,-6.043455,이,-8.09033
16,23,Crit2,2,whq-nun-repeated,whq,nun,repeated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업도 들었어. 위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업도 들었어.,위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,7,-0.10733797,5,-3.279213,6,-3.482338,지,-3.716713,4,-5.857338
17,24,Crit2,2,whq-nun-contradictory,whq,nun,contradictory,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업만 들었어. 위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업만 들었어.,위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,1,-0.035519194,지,-4.238644,2,-4.426144,3,-5.738644,4,-6.176144
18,28,Crit2,2,linkedq-acc-negated,linkedq,acc,negated,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업은 안 들었어. 위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 전공 수업이랑 실습 수업 중에 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업은 안 들었어.,위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,7,-0.55014116,1,-1.2063911,4,-2.862641,5,-3.487641,6,-3.940766
19,29,Crit2,2,linkedq-acc-repeated,linkedq,acc,repeated,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업도 들었어. 위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 전공 수업이랑 실습 수업 중에 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업도 들었어.,위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,7,-0.008167008,6,-5.367542,5,-6.055042,지,-7.742542,4,-7.992542
20,30,Crit2,2,linkedq-acc-contradictory,linkedq,acc,contradictory,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업만 들었어. 위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업을 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 전공 수업이랑 실습 수업 중에 뭘 들었어?,지혜,전공 수업을 들었어.,실습 수업만 들었어.,위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,1,-0.005260799,지,-5.552136,3,-7.942761,2,-7.958386,이,-8.895885
21,31,Crit2,2,linkedq-nun-negated,linkedq,nun,negated,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업은 안 들었어. 위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 전공 수업이랑 실습 수업 중에 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업은 안 들었어.,위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,7,-0.015803598,6,-4.484554,5,-5.984554,4,-7.062679,지,-7.922054
22,32,Crit2,2,linkedq-nun-repeated,linkedq,nun,repeated,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업도 들었어. 위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,연우: 성호는 전공 수업이랑 실습 수업 중에 뭘 들었어? 지혜: 전공 수업은 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 전공 수업이랑 실습 수업 중에 뭘 들었어?,지혜,전공 수업은 들었어.,실습 수업도 들었어.,위의 대화에서 지혜가 첫 번째 답장에 이어 두 번째 답장을 말한 것이 얼마나 적절한지 1과 7 사이의 숫자로 답해 주세요. 1은 '전혀 적절하지 않다'는 것을 뜻하고 7은 '매우 적절하다'는 것을 뜻합니다.,7,-0.0016125776,6,-7.2672377,5,-7.3922377,지,-8.845363,4,-9.532863
