,q_id,item_id,scenario_id,condition,qform,marker,continuation,prompt,context,speakerA,qud,speakerB,anchor,target,raw_logprob,normalized_logprob,normalized_surprisal
15,25,Crit2,2,whq-zero-negated,whq,zero,negated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 실습 수업은 안 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업 들었어.,실습 수업은 안 들었어.,-88.63020070573822,-11.078775088217276,15.983293878895257
16,26,Crit2,2,whq-zero-repeated,whq,zero,repeated,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 실습 수업도 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업 들었어.,실습 수업도 들었어.,-76.67239001443794,-10.953198573491134,15.802125263847728
17,27,Crit2,2,whq-zero-contradictory,whq,zero,contradictory,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다. 연우: 성호는 뭘 들었어? 지혜: 전공 수업 들었어. 실습 수업만 들었어.,연우는 성호와 지혜가 전공 수업과 실습 수업을 들을 수 있었다는 것을 알고 있습니다.,연우,성호는 뭘 들었어?,지혜,전공 수업 들었어.,실습 수업만 들었어.,-72.22392087386245,-10.31770298198035,14.88529892546832
18,37,Crit3,3,whq-acc-negated,whq,acc,negated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어. 메기는 못 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,메기는 못 잡았어.,-107.8734564585958,-13.484182057324476,19.45356258454596
19,38,Crit3,3,whq-acc-repeated,whq,acc,repeated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어. 메기도 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,메기도 잡았어.,-83.07290268866943,-13.845483781444903,19.974810790199136
20,39,Crit3,3,whq-acc-contradictory,whq,acc,contradictory,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어를 잡았어. 메기만 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어를 잡았어.,메기만 잡았어.,-89.29538010900323,-12.756482872714749,18.403714579650565
21,40,Crit3,3,whq-nun-negated,whq,nun,negated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어. 메기는 못 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어는 잡았어.,메기는 못 잡았어.,-109.32223493956738,-13.665279367445924,19.714830775776505
22,41,Crit3,3,whq-nun-repeated,whq,nun,repeated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어. 메기도 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어는 잡았어.,메기도 잡았어.,-83.95556486490095,-13.99259414415016,20.187046180937383
23,42,Crit3,3,whq-nun-contradictory,whq,nun,contradictory,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어는 잡았어. 메기만 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어는 잡았어.,메기만 잡았어.,-89.83202279511355,-12.833146113587649,18.514316257076374
24,43,Crit3,3,whq-zero-negated,whq,zero,negated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어. 메기는 못 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어 잡았어.,메기는 못 잡았어.,-108.6813835274854,-13.585172940935674,19.59926163150683
25,44,Crit3,3,whq-zero-repeated,whq,zero,repeated,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어. 메기도 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어 잡았어.,메기도 잡았어.,-83.70220798974947,-13.950367998291576,20.126126729711352
26,45,Crit3,3,whq-zero-contradictory,whq,zero,contradictory,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다. 창욱: 태연이는 뭘 잡았어? 나영: 잉어 잡았어. 메기만 잡았어.,창욱이는 태연이와 나영이가 잉어와 메기를 잡으러 갔다는 것을 알고 있습니다.,창욱,태연이는 뭘 잡았어?,나영,잉어 잡았어.,메기만 잡았어.,-89.56530195061187,-12.795043135801697,18.45934527998148
27,55,Crit4,4,whq-acc-negated,whq,acc,negated,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어. 가방은 안 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,가방은 안 샀어.,-77.72934396541245,-12.954890660902077,18.68995651174217
28,56,Crit4,4,whq-acc-repeated,whq,acc,repeated,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어. 가방도 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,가방도 샀어.,-65.43528366056347,-13.087056732112694,18.880631847251507
29,57,Crit4,4,whq-acc-contradictory,whq,acc,contradictory,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발을 샀어. 가방만 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발을 샀어.,가방만 샀어.,-62.98894211561846,-12.597788423123692,18.174766884208942
30,58,Crit4,4,whq-nun-negated,whq,nun,negated,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어. 가방은 안 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발은 샀어.,가방은 안 샀어.,-78.0412986034762,-13.006883100579367,18.76496574662832
31,59,Crit4,4,whq-nun-repeated,whq,nun,repeated,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어. 가방도 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발은 샀어.,가방도 샀어.,-65.05254834457337,-13.010509668914674,18.77019777878111
32,60,Crit4,4,whq-nun-contradictory,whq,nun,contradictory,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발은 샀어. 가방만 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발은 샀어.,가방만 샀어.,-62.94243091568222,-12.588486183136444,18.161346588710185
33,61,Crit4,4,whq-zero-negated,whq,zero,negated,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어. 가방은 안 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발 샀어.,가방은 안 샀어.,-77.97225559754281,-12.9953759329238,18.74836441291696
34,62,Crit4,4,whq-zero-repeated,whq,zero,repeated,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어. 가방도 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발 샀어.,가방도 샀어.,-64.82223693952955,-12.96444738790591,18.70374395439773
35,63,Crit4,4,whq-zero-contradictory,whq,zero,contradictory,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다. 지윤: 슬기는 뭘 샀어? 태우: 신발 샀어. 가방만 샀어.,지윤이는 슬기와 태우가 신발과 가방을 사러 갔다는 것을 알고 있습니다.,지윤,슬기는 뭘 샀어?,태우,신발 샀어.,가방만 샀어.,-62.53005823232716,-12.506011646465431,18.0423609836553
36,73,Crit5,5,whq-acc-negated,whq,acc,negated,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어. 범퍼카는 안 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,범퍼카는 안 탔어.,-110.0508224307799,-13.756352803847488,19.84622197082976
37,74,Crit5,5,whq-acc-repeated,whq,acc,repeated,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어. 범퍼카도 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,범퍼카도 탔어.,-97.60837526864448,-13.944053609806351,20.11701699275747
38,75,Crit5,5,whq-acc-contradictory,whq,acc,contradictory,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터를 탔어. 범퍼카만 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터를 탔어.,범퍼카만 탔어.,-94.71657361536477,-13.53093908790925,19.52101872069731
39,76,Crit5,5,whq-nun-negated,whq,nun,negated,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어. 범퍼카는 안 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터는 탔어.,범퍼카는 안 탔어.,-110.58605258351425,-13.82325657293928,19.942743706715262
40,77,Crit5,5,whq-nun-repeated,whq,nun,repeated,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어. 범퍼카도 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터는 탔어.,범퍼카도 탔어.,-98.57902355592486,-14.082717650846408,20.317066917115586
41,78,Crit5,5,whq-nun-contradictory,whq,nun,contradictory,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터는 탔어. 범퍼카만 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터는 탔어.,범퍼카만 탔어.,-96.05590167716602,-13.722271668166574,19.79705328539504
42,79,Crit5,5,whq-zero-negated,whq,zero,negated,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어. 범퍼카는 안 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터 탔어.,범퍼카는 안 탔어.,-111.15663131087992,-13.894578913859991,20.04564009426617
43,80,Crit5,5,whq-zero-repeated,whq,zero,repeated,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어. 범퍼카도 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터 탔어.,범퍼카도 탔어.,-98.3610321637219,-14.051576023388844,20.272139045617344
44,81,Crit5,5,whq-zero-contradictory,whq,zero,contradictory,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다. 재욱: 은숙이는 뭘 탔어? 혜지: 롤러코스터 탔어. 범퍼카만 탔어.,재욱이는 은숙이와 혜지가 롤러코스터와 범퍼카가 있는 놀이공원에 갔다는 것을 알고 있습니다.,재욱,은숙이는 뭘 탔어?,혜지,롤러코스터 탔어.,범퍼카만 탔어.,-94.7927513370294,-13.541821619575629,19.536718895164707
45,91,Crit6,6,whq-acc-negated,whq,acc,negated,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료를 모았어. 설문 자료는 안 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료를 모았어.,설문 자료는 안 모았어.,-82.58044321493279,-11.797206173561827,17.01977084294231
46,92,Crit6,6,whq-acc-repeated,whq,acc,repeated,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료를 모았어. 설문 자료도 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료를 모았어.,설문 자료도 모았어.,-70.6733064111086,-11.778884401851434,16.993338113755428
47,93,Crit6,6,whq-acc-contradictory,whq,acc,contradictory,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료를 모았어. 설문 자료만 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료를 모았어.,설문 자료만 모았어.,-69.38393108881846,-11.563988514803077,16.683308883203328
48,94,Crit6,6,whq-nun-negated,whq,nun,negated,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료는 모았어. 설문 자료는 안 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료는 모았어.,설문 자료는 안 모았어.,-85.03397330437849,-12.14771047205407,17.525441656187336
49,95,Crit6,6,whq-nun-repeated,whq,nun,repeated,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료는 모았어. 설문 자료도 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료는 모았어.,설문 자료도 모았어.,-73.5883908393083,-12.264731806551383,17.694267755144818
50,96,Crit6,6,whq-nun-contradictory,whq,nun,contradictory,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료는 모았어. 설문 자료만 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료는 모았어.,설문 자료만 모았어.,-69.48831950331143,-11.58138658388524,16.708408991189206
51,97,Crit6,6,whq-zero-negated,whq,zero,negated,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료 모았어. 설문 자료는 안 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료 모았어.,설문 자료는 안 모았어.,-82.21135050051276,-11.744478642930394,16.94370109598202
52,98,Crit6,6,whq-zero-repeated,whq,zero,repeated,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료 모았어. 설문 자료도 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료 모았어.,설문 자료도 모았어.,-70.36332620462241,-11.727221034103737,16.9188036293102
53,99,Crit6,6,whq-zero-contradictory,whq,zero,contradictory,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료 모았어. 설문 자료만 모았어.,주현이는 상엽이와 민수가 인터뷰 자료와 설문 자료를 모아야 했다는 것을 알고 있습니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료 모았어.,설문 자료만 모았어.,-68.63345389612836,-11.43890898268806,16.502857262504282
54,109,Crit7,7,whq-acc-negated,whq,acc,negated,영환이는 진혁이와 지연이가 탁자와 소파를 옮겨야 했다는 것을 알고 있습니다. 영환: 진혁이는 뭘 옮겼어? 지연: 탁자를 옮겼어. 소파는 안 옮겼어.,영환이는 진혁이와 지연이가 탁자와 소파를 옮겨야 했다는 것을 알고 있습니다.,영환,진혁이는 뭘 옮겼어?,지연,탁자를 옮겼어.,소파는 안 옮겼어.,-75.10397487108393,-12.517329145180655,18.05868868292702
55,110,Crit7,7,whq-acc-repeated,whq,acc,repeated,영환이는 진혁이와 지연이가 탁자와 소파를 옮겨야 했다는 것을 알고 있습니다. 영환: 진혁이는 뭘 옮겼어? 지연: 탁자를 옮겼어. 소파도 옮겼어.,영환이는 진혁이와 지연이가 탁자와 소파를 옮겨야 했다는 것을 알고 있습니다.,영환,진혁이는 뭘 옮겼어?,지연,탁자를 옮겼어.,소파도 옮겼어.,-64.45380917005603,-12.890761834011206,18.597438171208687
