,q_id,item_id,scenario_id,condition,qform,ws,prompt_no_ws,prompt_ws,ws_description,speakerA,qud,speakerB,acc_response,null_response,nun_response,verbatim_response,vb_one_response,vb_both_response,acc_no_ws,acc_ws,null_no_ws,null_ws,nun_no_ws,nun_ws,verbatim_no_ws,verbatim_ws,vb_one_no_ws,vb_one_ws,vb_both_no_ws,vb_both_ws,acc_no_ws_logprob,acc_ws_logprob,null_no_ws_logprob,null_ws_logprob,nun_no_ws_logprob,nun_ws_logprob,verbatim_no_ws_logprob,verbatim_ws_logprob,vb_one_no_ws_logprob,vb_one_ws_logprob,vb_both_no_ws_logprob,vb_both_ws_logprob
96,97,Crit13,13,WhQ-One,WhQ,One,재효: 찬욱이는 뭘 찍었어? 석준: ,석준이는 찬욱이가 운동장과 강당 중에 운동장만 찍었다고 답하려고 합니다. 재효: 찬욱이는 뭘 찍었어? 석준: ,석준이는 찬욱이가 운동장과 강당 중에 운동장만 찍었다고 답하려고 합니다.,재효,찬욱이는 뭘 찍었어?,석준,운동장을 찍었어.,운동장 찍었어.,운동장은 찍었어.,운동장만 찍었어.,운동장만 찍었어.,운동장이랑 강당을 둘 다 찍었어.,재효: 찬욱이는 뭘 찍었어? 석준: 운동장을 찍었어.,석준이는 찬욱이가 운동장과 강당 중에 운동장만 찍었다고 답하려고 합니다. 재효: 찬욱이는 뭘 찍었어? 석준: 운동장을 찍었어.,재효: 찬욱이는 뭘 찍었어? 석준: 운동장 찍었어.,석준이는 찬욱이가 운동장과 강당 중에 운동장만 찍었다고 답하려고 합니다. 재효: 찬욱이는 뭘 찍었어? 석준: 운동장 찍었어.,재효: 찬욱이는 뭘 찍었어? 석준: 운동장은 찍었어.,석준이는 찬욱이가 운동장과 강당 중에 운동장만 찍었다고 답하려고 합니다. 재효: 찬욱이는 뭘 찍었어? 석준: 운동장은 찍었어.,재효: 찬욱이는 뭘 찍었어? 석준: 운동장만 찍었어.,석준이는 찬욱이가 운동장과 강당 중에 운동장만 찍었다고 답하려고 합니다. 재효: 찬욱이는 뭘 찍었어? 석준: 운동장만 찍었어.,재효: 찬욱이는 뭘 찍었어? 석준: 운동장만 찍었어.,석준이는 찬욱이가 운동장과 강당 중에 운동장만 찍었다고 답하려고 합니다. 재효: 찬욱이는 뭘 찍었어? 석준: 운동장만 찍었어.,재효: 찬욱이는 뭘 찍었어? 석준: 운동장이랑 강당을 둘 다 찍었어.,석준이는 찬욱이가 운동장과 강당 중에 운동장만 찍었다고 답하려고 합니다. 재효: 찬욱이는 뭘 찍었어? 석준: 운동장이랑 강당을 둘 다 찍었어.,-11.398564481977171,-12.85832788896779,-9.757550145355241,-11.40208538556903,-10.686456374115572,-12.01824306607099,-10.090975921651525,-11.385394779438519,-10.090975921651525,-11.385394779438519,-11.266486630916512,-12.725045872840967
97,98,Crit13,13,WhQ-Both,WhQ,Both,재효: 찬욱이는 뭘 찍었어? 석준: ,석준이는 찬욱이가 운동장과 강당을 둘 다 찍었다고 답하려고 합니다. 재효: 찬욱이는 뭘 찍었어? 석준: ,석준이는 찬욱이가 운동장과 강당을 둘 다 찍었다고 답하려고 합니다.,재효,찬욱이는 뭘 찍었어?,석준,운동장을 찍었어.,운동장 찍었어.,운동장은 찍었어.,운동장이랑 강당을 둘 다 찍었어.,운동장만 찍었어.,운동장이랑 강당을 둘 다 찍었어.,재효: 찬욱이는 뭘 찍었어? 석준: 운동장을 찍었어.,석준이는 찬욱이가 운동장과 강당을 둘 다 찍었다고 답하려고 합니다. 재효: 찬욱이는 뭘 찍었어? 석준: 운동장을 찍었어.,재효: 찬욱이는 뭘 찍었어? 석준: 운동장 찍었어.,석준이는 찬욱이가 운동장과 강당을 둘 다 찍었다고 답하려고 합니다. 재효: 찬욱이는 뭘 찍었어? 석준: 운동장 찍었어.,재효: 찬욱이는 뭘 찍었어? 석준: 운동장은 찍었어.,석준이는 찬욱이가 운동장과 강당을 둘 다 찍었다고 답하려고 합니다. 재효: 찬욱이는 뭘 찍었어? 석준: 운동장은 찍었어.,재효: 찬욱이는 뭘 찍었어? 석준: 운동장이랑 강당을 둘 다 찍었어.,석준이는 찬욱이가 운동장과 강당을 둘 다 찍었다고 답하려고 합니다. 재효: 찬욱이는 뭘 찍었어? 석준: 운동장이랑 강당을 둘 다 찍었어.,재효: 찬욱이는 뭘 찍었어? 석준: 운동장만 찍었어.,석준이는 찬욱이가 운동장과 강당을 둘 다 찍었다고 답하려고 합니다. 재효: 찬욱이는 뭘 찍었어? 석준: 운동장만 찍었어.,재효: 찬욱이는 뭘 찍었어? 석준: 운동장이랑 강당을 둘 다 찍었어.,석준이는 찬욱이가 운동장과 강당을 둘 다 찍었다고 답하려고 합니다. 재효: 찬욱이는 뭘 찍었어? 석준: 운동장이랑 강당을 둘 다 찍었어.,-11.398564481977171,-12.692453889858982,-9.757550145355241,-11.343034299084525,-10.686456374115572,-11.916596424679458,-11.266486630916512,-12.63105760231861,-10.090975921651525,-11.259534775930595,-11.266486630916512,-12.63105760231861
104,105,Crit14,14,WhQ-One,WhQ,One,호준: 상혁이는 뭘 땄어? 지은: ,지은이는 상혁이가 메달과 상금 중에 메달만 땄다고 답하려고 합니다. 호준: 상혁이는 뭘 땄어? 지은: ,지은이는 상혁이가 메달과 상금 중에 메달만 땄다고 답하려고 합니다.,호준,상혁이는 뭘 땄어?,지은,메달을 땄어.,메달 땄어.,메달은 땄어.,메달만 땄어.,메달만 땄어.,메달이랑 상금을 둘 다 땄어.,호준: 상혁이는 뭘 땄어? 지은: 메달을 땄어.,지은이는 상혁이가 메달과 상금 중에 메달만 땄다고 답하려고 합니다. 호준: 상혁이는 뭘 땄어? 지은: 메달을 땄어.,호준: 상혁이는 뭘 땄어? 지은: 메달 땄어.,지은이는 상혁이가 메달과 상금 중에 메달만 땄다고 답하려고 합니다. 호준: 상혁이는 뭘 땄어? 지은: 메달 땄어.,호준: 상혁이는 뭘 땄어? 지은: 메달은 땄어.,지은이는 상혁이가 메달과 상금 중에 메달만 땄다고 답하려고 합니다. 호준: 상혁이는 뭘 땄어? 지은: 메달은 땄어.,호준: 상혁이는 뭘 땄어? 지은: 메달만 땄어.,지은이는 상혁이가 메달과 상금 중에 메달만 땄다고 답하려고 합니다. 호준: 상혁이는 뭘 땄어? 지은: 메달만 땄어.,호준: 상혁이는 뭘 땄어? 지은: 메달만 땄어.,지은이는 상혁이가 메달과 상금 중에 메달만 땄다고 답하려고 합니다. 호준: 상혁이는 뭘 땄어? 지은: 메달만 땄어.,호준: 상혁이는 뭘 땄어? 지은: 메달이랑 상금을 둘 다 땄어.,지은이는 상혁이가 메달과 상금 중에 메달만 땄다고 답하려고 합니다. 호준: 상혁이는 뭘 땄어? 지은: 메달이랑 상금을 둘 다 땄어.,-14.312582805426029,-14.135179158547757,-13.057838955383884,-12.910045729999542,-12.422740816598516,-12.103203994538593,-12.24177715271071,-12.14587999527387,-12.24177715271071,-12.14587999527387,-11.823444326543482,-12.094936250688654
105,106,Crit14,14,WhQ-Both,WhQ,Both,호준: 상혁이는 뭘 땄어? 지은: ,지은이는 상혁이가 메달과 상금을 둘 다 땄다고 답하려고 합니다. 호준: 상혁이는 뭘 땄어? 지은: ,지은이는 상혁이가 메달과 상금을 둘 다 땄다고 답하려고 합니다.,호준,상혁이는 뭘 땄어?,지은,메달을 땄어.,메달 땄어.,메달은 땄어.,메달이랑 상금을 둘 다 땄어.,메달만 땄어.,메달이랑 상금을 둘 다 땄어.,호준: 상혁이는 뭘 땄어? 지은: 메달을 땄어.,지은이는 상혁이가 메달과 상금을 둘 다 땄다고 답하려고 합니다. 호준: 상혁이는 뭘 땄어? 지은: 메달을 땄어.,호준: 상혁이는 뭘 땄어? 지은: 메달 땄어.,지은이는 상혁이가 메달과 상금을 둘 다 땄다고 답하려고 합니다. 호준: 상혁이는 뭘 땄어? 지은: 메달 땄어.,호준: 상혁이는 뭘 땄어? 지은: 메달은 땄어.,지은이는 상혁이가 메달과 상금을 둘 다 땄다고 답하려고 합니다. 호준: 상혁이는 뭘 땄어? 지은: 메달은 땄어.,호준: 상혁이는 뭘 땄어? 지은: 메달이랑 상금을 둘 다 땄어.,지은이는 상혁이가 메달과 상금을 둘 다 땄다고 답하려고 합니다. 호준: 상혁이는 뭘 땄어? 지은: 메달이랑 상금을 둘 다 땄어.,호준: 상혁이는 뭘 땄어? 지은: 메달만 땄어.,지은이는 상혁이가 메달과 상금을 둘 다 땄다고 답하려고 합니다. 호준: 상혁이는 뭘 땄어? 지은: 메달만 땄어.,호준: 상혁이는 뭘 땄어? 지은: 메달이랑 상금을 둘 다 땄어.,지은이는 상혁이가 메달과 상금을 둘 다 땄다고 답하려고 합니다. 호준: 상혁이는 뭘 땄어? 지은: 메달이랑 상금을 둘 다 땄어.,-14.312582805426029,-14.233663934639537,-13.057838955383884,-13.233052453541044,-12.422740816598516,-12.256202128914389,-11.823444326543482,-11.909486775071771,-12.24177715271071,-12.501823105728523,-11.823444326543482,-11.909486775071771
112,113,Crit15,15,WhQ-One,WhQ,One,혁수: 진영이는 뭘 냈어? 동민: ,동민이는 진영이가 식사비와 활동비 중에 식사비만 냈다고 답하려고 합니다. 혁수: 진영이는 뭘 냈어? 동민: ,동민이는 진영이가 식사비와 활동비 중에 식사비만 냈다고 답하려고 합니다.,혁수,진영이는 뭘 냈어?,동민,식사비를 냈어.,식사비 냈어.,식사비는 냈어.,식사비만 냈어.,식사비만 냈어.,식사비랑 활동비를 둘 다 냈어.,혁수: 진영이는 뭘 냈어? 동민: 식사비를 냈어.,동민이는 진영이가 식사비와 활동비 중에 식사비만 냈다고 답하려고 합니다. 혁수: 진영이는 뭘 냈어? 동민: 식사비를 냈어.,혁수: 진영이는 뭘 냈어? 동민: 식사비 냈어.,동민이는 진영이가 식사비와 활동비 중에 식사비만 냈다고 답하려고 합니다. 혁수: 진영이는 뭘 냈어? 동민: 식사비 냈어.,혁수: 진영이는 뭘 냈어? 동민: 식사비는 냈어.,동민이는 진영이가 식사비와 활동비 중에 식사비만 냈다고 답하려고 합니다. 혁수: 진영이는 뭘 냈어? 동민: 식사비는 냈어.,혁수: 진영이는 뭘 냈어? 동민: 식사비만 냈어.,동민이는 진영이가 식사비와 활동비 중에 식사비만 냈다고 답하려고 합니다. 혁수: 진영이는 뭘 냈어? 동민: 식사비만 냈어.,혁수: 진영이는 뭘 냈어? 동민: 식사비만 냈어.,동민이는 진영이가 식사비와 활동비 중에 식사비만 냈다고 답하려고 합니다. 혁수: 진영이는 뭘 냈어? 동민: 식사비만 냈어.,혁수: 진영이는 뭘 냈어? 동민: 식사비랑 활동비를 둘 다 냈어.,동민이는 진영이가 식사비와 활동비 중에 식사비만 냈다고 답하려고 합니다. 혁수: 진영이는 뭘 냈어? 동민: 식사비랑 활동비를 둘 다 냈어.,-13.414713572393365,-13.479953667849824,-11.839065063628214,-12.144598019379007,-12.756824652644,-13.201908934285443,-11.402702056883824,-11.701590213780232,-11.402702056883824,-11.701590213780232,-11.555278029216558,-11.78927437072234
113,114,Crit15,15,WhQ-Both,WhQ,Both,혁수: 진영이는 뭘 냈어? 동민: ,동민이는 진영이가 식사비와 활동비를 둘 다 냈다고 답하려고 합니다. 혁수: 진영이는 뭘 냈어? 동민: ,동민이는 진영이가 식사비와 활동비를 둘 다 냈다고 답하려고 합니다.,혁수,진영이는 뭘 냈어?,동민,식사비를 냈어.,식사비 냈어.,식사비는 냈어.,식사비랑 활동비를 둘 다 냈어.,식사비만 냈어.,식사비랑 활동비를 둘 다 냈어.,혁수: 진영이는 뭘 냈어? 동민: 식사비를 냈어.,동민이는 진영이가 식사비와 활동비를 둘 다 냈다고 답하려고 합니다. 혁수: 진영이는 뭘 냈어? 동민: 식사비를 냈어.,혁수: 진영이는 뭘 냈어? 동민: 식사비 냈어.,동민이는 진영이가 식사비와 활동비를 둘 다 냈다고 답하려고 합니다. 혁수: 진영이는 뭘 냈어? 동민: 식사비 냈어.,혁수: 진영이는 뭘 냈어? 동민: 식사비는 냈어.,동민이는 진영이가 식사비와 활동비를 둘 다 냈다고 답하려고 합니다. 혁수: 진영이는 뭘 냈어? 동민: 식사비는 냈어.,혁수: 진영이는 뭘 냈어? 동민: 식사비랑 활동비를 둘 다 냈어.,동민이는 진영이가 식사비와 활동비를 둘 다 냈다고 답하려고 합니다. 혁수: 진영이는 뭘 냈어? 동민: 식사비랑 활동비를 둘 다 냈어.,혁수: 진영이는 뭘 냈어? 동민: 식사비만 냈어.,동민이는 진영이가 식사비와 활동비를 둘 다 냈다고 답하려고 합니다. 혁수: 진영이는 뭘 냈어? 동민: 식사비만 냈어.,혁수: 진영이는 뭘 냈어? 동민: 식사비랑 활동비를 둘 다 냈어.,동민이는 진영이가 식사비와 활동비를 둘 다 냈다고 답하려고 합니다. 혁수: 진영이는 뭘 냈어? 동민: 식사비랑 활동비를 둘 다 냈어.,-13.414713572393365,-13.662351263502726,-11.839065063628214,-12.326229328636384,-12.756824652644,-13.380403597118866,-11.555278029216558,-11.682632486094501,-11.402702056883824,-12.056528658007888,-11.555278029216558,-11.682632486094501
120,121,Crit16,16,WhQ-One,WhQ,One,태윤: 가은이는 뭘 만들었어? 하연: ,하연이는 가은이가 샌드위치와 쿠키 중에 샌드위치만 만들었다고 답하려고 합니다. 태윤: 가은이는 뭘 만들었어? 하연: ,하연이는 가은이가 샌드위치와 쿠키 중에 샌드위치만 만들었다고 답하려고 합니다.,태윤,가은이는 뭘 만들었어?,하연,샌드위치를 만들었어.,샌드위치 만들었어.,샌드위치는 만들었어.,샌드위치만 만들었어.,샌드위치만 만들었어.,샌드위치랑 쿠키를 둘 다 만들었어.,태윤: 가은이는 뭘 만들었어? 하연: 샌드위치를 만들었어.,하연이는 가은이가 샌드위치와 쿠키 중에 샌드위치만 만들었다고 답하려고 합니다. 태윤: 가은이는 뭘 만들었어? 하연: 샌드위치를 만들었어.,태윤: 가은이는 뭘 만들었어? 하연: 샌드위치 만들었어.,하연이는 가은이가 샌드위치와 쿠키 중에 샌드위치만 만들었다고 답하려고 합니다. 태윤: 가은이는 뭘 만들었어? 하연: 샌드위치 만들었어.,태윤: 가은이는 뭘 만들었어? 하연: 샌드위치는 만들었어.,하연이는 가은이가 샌드위치와 쿠키 중에 샌드위치만 만들었다고 답하려고 합니다. 태윤: 가은이는 뭘 만들었어? 하연: 샌드위치는 만들었어.,태윤: 가은이는 뭘 만들었어? 하연: 샌드위치만 만들었어.,하연이는 가은이가 샌드위치와 쿠키 중에 샌드위치만 만들었다고 답하려고 합니다. 태윤: 가은이는 뭘 만들었어? 하연: 샌드위치만 만들었어.,태윤: 가은이는 뭘 만들었어? 하연: 샌드위치만 만들었어.,하연이는 가은이가 샌드위치와 쿠키 중에 샌드위치만 만들었다고 답하려고 합니다. 태윤: 가은이는 뭘 만들었어? 하연: 샌드위치만 만들었어.,태윤: 가은이는 뭘 만들었어? 하연: 샌드위치랑 쿠키를 둘 다 만들었어.,하연이는 가은이가 샌드위치와 쿠키 중에 샌드위치만 만들었다고 답하려고 합니다. 태윤: 가은이는 뭘 만들었어? 하연: 샌드위치랑 쿠키를 둘 다 만들었어.,-14.425505707174242,-14.377465575725642,-12.81163246474274,-13.791778101817457,-13.733373708628253,-13.653419315545596,-12.186059967112609,-12.775179327380993,-12.186059967112609,-12.775179327380993,-12.975585841551265,-13.53723941524354
121,122,Crit16,16,WhQ-Both,WhQ,Both,태윤: 가은이는 뭘 만들었어? 하연: ,하연이는 가은이가 샌드위치와 쿠키를 둘 다 만들었다고 답하려고 합니다. 태윤: 가은이는 뭘 만들었어? 하연: ,하연이는 가은이가 샌드위치와 쿠키를 둘 다 만들었다고 답하려고 합니다.,태윤,가은이는 뭘 만들었어?,하연,샌드위치를 만들었어.,샌드위치 만들었어.,샌드위치는 만들었어.,샌드위치랑 쿠키를 둘 다 만들었어.,샌드위치만 만들었어.,샌드위치랑 쿠키를 둘 다 만들었어.,태윤: 가은이는 뭘 만들었어? 하연: 샌드위치를 만들었어.,하연이는 가은이가 샌드위치와 쿠키를 둘 다 만들었다고 답하려고 합니다. 태윤: 가은이는 뭘 만들었어? 하연: 샌드위치를 만들었어.,태윤: 가은이는 뭘 만들었어? 하연: 샌드위치 만들었어.,하연이는 가은이가 샌드위치와 쿠키를 둘 다 만들었다고 답하려고 합니다. 태윤: 가은이는 뭘 만들었어? 하연: 샌드위치 만들었어.,태윤: 가은이는 뭘 만들었어? 하연: 샌드위치는 만들었어.,하연이는 가은이가 샌드위치와 쿠키를 둘 다 만들었다고 답하려고 합니다. 태윤: 가은이는 뭘 만들었어? 하연: 샌드위치는 만들었어.,태윤: 가은이는 뭘 만들었어? 하연: 샌드위치랑 쿠키를 둘 다 만들었어.,하연이는 가은이가 샌드위치와 쿠키를 둘 다 만들었다고 답하려고 합니다. 태윤: 가은이는 뭘 만들었어? 하연: 샌드위치랑 쿠키를 둘 다 만들었어.,태윤: 가은이는 뭘 만들었어? 하연: 샌드위치만 만들었어.,하연이는 가은이가 샌드위치와 쿠키를 둘 다 만들었다고 답하려고 합니다. 태윤: 가은이는 뭘 만들었어? 하연: 샌드위치만 만들었어.,태윤: 가은이는 뭘 만들었어? 하연: 샌드위치랑 쿠키를 둘 다 만들었어.,하연이는 가은이가 샌드위치와 쿠키를 둘 다 만들었다고 답하려고 합니다. 태윤: 가은이는 뭘 만들었어? 하연: 샌드위치랑 쿠키를 둘 다 만들었어.,-14.425505707174242,-14.74224258853134,-12.81163246474274,-13.9024384503836,-13.733373708628253,-14.009935424920013,-12.975585841551265,-13.650878053379236,-12.186059967112609,-12.90394400246241,-12.975585841551265,-13.650878053379236
128,129,Crit17,17,WhQ-One,WhQ,One,보미: 정화는 뭘 받았어? 희연: ,희연이는 정화가 꽃과 선물 중에 꽃만 받았다고 답하려고 합니다. 보미: 정화는 뭘 받았어? 희연: ,희연이는 정화가 꽃과 선물 중에 꽃만 받았다고 답하려고 합니다.,보미,정화는 뭘 받았어?,희연,꽃을 받았어.,꽃 받았어.,꽃은 받았어.,꽃만 받았어.,꽃만 받았어.,꽃이랑 선물을 둘 다 받았어.,보미: 정화는 뭘 받았어? 희연: 꽃을 받았어.,희연이는 정화가 꽃과 선물 중에 꽃만 받았다고 답하려고 합니다. 보미: 정화는 뭘 받았어? 희연: 꽃을 받았어.,보미: 정화는 뭘 받았어? 희연: 꽃 받았어.,희연이는 정화가 꽃과 선물 중에 꽃만 받았다고 답하려고 합니다. 보미: 정화는 뭘 받았어? 희연: 꽃 받았어.,보미: 정화는 뭘 받았어? 희연: 꽃은 받았어.,희연이는 정화가 꽃과 선물 중에 꽃만 받았다고 답하려고 합니다. 보미: 정화는 뭘 받았어? 희연: 꽃은 받았어.,보미: 정화는 뭘 받았어? 희연: 꽃만 받았어.,희연이는 정화가 꽃과 선물 중에 꽃만 받았다고 답하려고 합니다. 보미: 정화는 뭘 받았어? 희연: 꽃만 받았어.,보미: 정화는 뭘 받았어? 희연: 꽃만 받았어.,희연이는 정화가 꽃과 선물 중에 꽃만 받았다고 답하려고 합니다. 보미: 정화는 뭘 받았어? 희연: 꽃만 받았어.,보미: 정화는 뭘 받았어? 희연: 꽃이랑 선물을 둘 다 받았어.,희연이는 정화가 꽃과 선물 중에 꽃만 받았다고 답하려고 합니다. 보미: 정화는 뭘 받았어? 희연: 꽃이랑 선물을 둘 다 받았어.,-12.322497698817278,-12.123702230119713,-11.451666348112377,-11.838235902539227,-10.840583390441243,-11.053641642959079,-10.971678934730567,-11.294953279005146,-10.971678934730567,-11.294953279005146,-10.259990071295514,-10.529175937078728
129,130,Crit17,17,WhQ-Both,WhQ,Both,보미: 정화는 뭘 받았어? 희연: ,희연이는 정화가 꽃과 선물을 둘 다 받았다고 답하려고 합니다. 보미: 정화는 뭘 받았어? 희연: ,희연이는 정화가 꽃과 선물을 둘 다 받았다고 답하려고 합니다.,보미,정화는 뭘 받았어?,희연,꽃을 받았어.,꽃 받았어.,꽃은 받았어.,꽃이랑 선물을 둘 다 받았어.,꽃만 받았어.,꽃이랑 선물을 둘 다 받았어.,보미: 정화는 뭘 받았어? 희연: 꽃을 받았어.,희연이는 정화가 꽃과 선물을 둘 다 받았다고 답하려고 합니다. 보미: 정화는 뭘 받았어? 희연: 꽃을 받았어.,보미: 정화는 뭘 받았어? 희연: 꽃 받았어.,희연이는 정화가 꽃과 선물을 둘 다 받았다고 답하려고 합니다. 보미: 정화는 뭘 받았어? 희연: 꽃 받았어.,보미: 정화는 뭘 받았어? 희연: 꽃은 받았어.,희연이는 정화가 꽃과 선물을 둘 다 받았다고 답하려고 합니다. 보미: 정화는 뭘 받았어? 희연: 꽃은 받았어.,보미: 정화는 뭘 받았어? 희연: 꽃이랑 선물을 둘 다 받았어.,희연이는 정화가 꽃과 선물을 둘 다 받았다고 답하려고 합니다. 보미: 정화는 뭘 받았어? 희연: 꽃이랑 선물을 둘 다 받았어.,보미: 정화는 뭘 받았어? 희연: 꽃만 받았어.,희연이는 정화가 꽃과 선물을 둘 다 받았다고 답하려고 합니다. 보미: 정화는 뭘 받았어? 희연: 꽃만 받았어.,보미: 정화는 뭘 받았어? 희연: 꽃이랑 선물을 둘 다 받았어.,희연이는 정화가 꽃과 선물을 둘 다 받았다고 답하려고 합니다. 보미: 정화는 뭘 받았어? 희연: 꽃이랑 선물을 둘 다 받았어.,-12.322497698817278,-12.320084950817275,-11.451666348112377,-11.826227505148497,-10.840583390441243,-10.994394429050608,-10.259990071295514,-10.373400684282737,-10.971678934730567,-11.383717694962868,-10.259990071295514,-10.373400684282737
136,137,Crit18,18,WhQ-One,WhQ,One,미희: 지영이는 뭘 도왔어? 윤주: ,윤주는 지영이가 설거지와 청소 중에 설거지만 도왔다고 답하려고 합니다. 미희: 지영이는 뭘 도왔어? 윤주: ,윤주는 지영이가 설거지와 청소 중에 설거지만 도왔다고 답하려고 합니다.,미희,지영이는 뭘 도왔어?,윤주,설거지를 도왔어.,설거지 도왔어.,설거지는 도왔어.,설거지만 도왔어.,설거지만 도왔어.,설거지랑 청소를 둘 다 도왔어.,미희: 지영이는 뭘 도왔어? 윤주: 설거지를 도왔어.,윤주는 지영이가 설거지와 청소 중에 설거지만 도왔다고 답하려고 합니다. 미희: 지영이는 뭘 도왔어? 윤주: 설거지를 도왔어.,미희: 지영이는 뭘 도왔어? 윤주: 설거지 도왔어.,윤주는 지영이가 설거지와 청소 중에 설거지만 도왔다고 답하려고 합니다. 미희: 지영이는 뭘 도왔어? 윤주: 설거지 도왔어.,미희: 지영이는 뭘 도왔어? 윤주: 설거지는 도왔어.,윤주는 지영이가 설거지와 청소 중에 설거지만 도왔다고 답하려고 합니다. 미희: 지영이는 뭘 도왔어? 윤주: 설거지는 도왔어.,미희: 지영이는 뭘 도왔어? 윤주: 설거지만 도왔어.,윤주는 지영이가 설거지와 청소 중에 설거지만 도왔다고 답하려고 합니다. 미희: 지영이는 뭘 도왔어? 윤주: 설거지만 도왔어.,미희: 지영이는 뭘 도왔어? 윤주: 설거지만 도왔어.,윤주는 지영이가 설거지와 청소 중에 설거지만 도왔다고 답하려고 합니다. 미희: 지영이는 뭘 도왔어? 윤주: 설거지만 도왔어.,미희: 지영이는 뭘 도왔어? 윤주: 설거지랑 청소를 둘 다 도왔어.,윤주는 지영이가 설거지와 청소 중에 설거지만 도왔다고 답하려고 합니다. 미희: 지영이는 뭘 도왔어? 윤주: 설거지랑 청소를 둘 다 도왔어.,-13.640594039085444,-13.795255528684244,-11.471217419402317,-12.141506380848273,-12.916607637696616,-13.269781748177108,-12.807263980656968,-13.270806135665241,-12.807263980656968,-13.270806135665241,-12.67985138421929,-13.168320020137964
137,138,Crit18,18,WhQ-Both,WhQ,Both,미희: 지영이는 뭘 도왔어? 윤주: ,윤주는 지영이가 설거지와 청소를 둘 다 도왔다고 답하려고 합니다. 미희: 지영이는 뭘 도왔어? 윤주: ,윤주는 지영이가 설거지와 청소를 둘 다 도왔다고 답하려고 합니다.,미희,지영이는 뭘 도왔어?,윤주,설거지를 도왔어.,설거지 도왔어.,설거지는 도왔어.,설거지랑 청소를 둘 다 도왔어.,설거지만 도왔어.,설거지랑 청소를 둘 다 도왔어.,미희: 지영이는 뭘 도왔어? 윤주: 설거지를 도왔어.,윤주는 지영이가 설거지와 청소를 둘 다 도왔다고 답하려고 합니다. 미희: 지영이는 뭘 도왔어? 윤주: 설거지를 도왔어.,미희: 지영이는 뭘 도왔어? 윤주: 설거지 도왔어.,윤주는 지영이가 설거지와 청소를 둘 다 도왔다고 답하려고 합니다. 미희: 지영이는 뭘 도왔어? 윤주: 설거지 도왔어.,미희: 지영이는 뭘 도왔어? 윤주: 설거지는 도왔어.,윤주는 지영이가 설거지와 청소를 둘 다 도왔다고 답하려고 합니다. 미희: 지영이는 뭘 도왔어? 윤주: 설거지는 도왔어.,미희: 지영이는 뭘 도왔어? 윤주: 설거지랑 청소를 둘 다 도왔어.,윤주는 지영이가 설거지와 청소를 둘 다 도왔다고 답하려고 합니다. 미희: 지영이는 뭘 도왔어? 윤주: 설거지랑 청소를 둘 다 도왔어.,미희: 지영이는 뭘 도왔어? 윤주: 설거지만 도왔어.,윤주는 지영이가 설거지와 청소를 둘 다 도왔다고 답하려고 합니다. 미희: 지영이는 뭘 도왔어? 윤주: 설거지만 도왔어.,미희: 지영이는 뭘 도왔어? 윤주: 설거지랑 청소를 둘 다 도왔어.,윤주는 지영이가 설거지와 청소를 둘 다 도왔다고 답하려고 합니다. 미희: 지영이는 뭘 도왔어? 윤주: 설거지랑 청소를 둘 다 도왔어.,-13.640594039085444,-14.146237087485396,-11.471217419402317,-12.523637058171603,-12.916607637696616,-13.492973435594534,-12.67985138421929,-13.137019078125453,-12.807263980656968,-13.666454926714323,-12.67985138421929,-13.137019078125453
