q_id,item_id,scenario_id,condition,qform,ws,prompt_no_ws,prompt_ws,ws_description,speakerA,qud,speakerB,acc_response,null_response,nun_response,verbatim_response,vb_one_response,vb_both_response,chat_question_simple,chat_question_full,acc_null_v1,acc_null_v2,nun_null_v1,nun_null_v2,acc_null_v1_response,acc_null_v1_coded,acc_null_v2_response,acc_null_v2_coded,acc_null_coded,nun_null_v1_response,nun_null_v1_coded,nun_null_v2_response,nun_null_v2_coded,nun_null_coded
36,Crit5,5,LinkedWhQ-Both,LinkedWhQ,Both,재욱: 은숙이는 롤러코스터랑 범퍼카 중에 뭘 탔어? 혜지:,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터랑 범퍼카 중에 뭘 탔어? 혜지:,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다.,재욱,은숙이는 롤러코스터랑 범퍼카 중에 뭘 탔어?,혜지,롤러코스터를 탔어.,롤러코스터 탔어.,롤러코스터는 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,롤러코스터만 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,아래에 주어진 두 개의 문장들 중 혜지가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 혜지가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 혜지가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터랑 범퍼카 중에 뭘 탔어? 혜지: 롤러코스터를 탔어. 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터랑 범퍼카 중에 뭘 탔어? 혜지: 롤러코스터 탔어. 롤러코스터를 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터랑 범퍼카 중에 뭘 탔어? 혜지: 롤러코스터는 탔어. 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터랑 범퍼카 중에 뭘 탔어? 혜지: 롤러코스터 탔어. 롤러코스터는 탔어.,롤러코스터를 탔어.,lul,롤러코스터 탔어. 롤러코스터를 탔어.,lul,lul,롤러코스터 탔어.,zero,롤러코스터 탔어. 롤러코스터는 탔어.,nun,random
37,Crit5,5,DQ-One,DQ,One,재욱: 은숙이는 롤러코스터나 범퍼카 탔어? 혜지:,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터나 범퍼카 탔어? 혜지:,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다.,재욱,은숙이는 롤러코스터나 범퍼카 탔어?,혜지,롤러코스터를 탔어.,롤러코스터 탔어.,롤러코스터는 탔어.,롤러코스터만 탔어.,롤러코스터만 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,아래에 주어진 두 개의 문장들 중 혜지가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 혜지가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 혜지가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터나 범퍼카 탔어? 혜지: 롤러코스터를 탔어. 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터나 범퍼카 탔어? 혜지: 롤러코스터 탔어. 롤러코스터를 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터나 범퍼카 탔어? 혜지: 롤러코스터는 탔어. 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터나 범퍼카 탔어? 혜지: 롤러코스터 탔어. 롤러코스터는 탔어.,롤러코스터를 탔어.,lul,롤러코스터 탔어.,zero,random,롤러코스터는 탔어.,nun,롤러코스터 탔어.,zero,random
38,Crit5,5,DQ-Both,DQ,Both,재욱: 은숙이는 롤러코스터나 범퍼카 탔어? 혜지:,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터나 범퍼카 탔어? 혜지:,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다.,재욱,은숙이는 롤러코스터나 범퍼카 탔어?,혜지,롤러코스터를 탔어.,롤러코스터 탔어.,롤러코스터는 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,롤러코스터만 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,아래에 주어진 두 개의 문장들 중 혜지가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 혜지가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 혜지가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터나 범퍼카 탔어? 혜지: 롤러코스터를 탔어. 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터나 범퍼카 탔어? 혜지: 롤러코스터 탔어. 롤러코스터를 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터나 범퍼카 탔어? 혜지: 롤러코스터는 탔어. 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터나 범퍼카 탔어? 혜지: 롤러코스터 탔어. 롤러코스터는 탔어.,롤러코스터도 탔고 범퍼카도 탔어.,also,롤러코스터 탔어.,zero,random,롤러코스터 탔어.,zero,롤러코스터 탔어.,zero,zero
39,Crit5,5,CQ-One,CQ,One,재욱: 은숙이는 롤러코스터랑 범퍼카 탔어? 혜지:,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터랑 범퍼카 탔어? 혜지:,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다.,재욱,은숙이는 롤러코스터랑 범퍼카 탔어?,혜지,롤러코스터를 탔어.,롤러코스터 탔어.,롤러코스터는 탔어.,롤러코스터만 탔어.,롤러코스터만 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,아래에 주어진 두 개의 문장들 중 혜지가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 혜지가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 혜지가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터랑 범퍼카 탔어? 혜지: 롤러코스터를 탔어. 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터랑 범퍼카 탔어? 혜지: 롤러코스터 탔어. 롤러코스터를 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터랑 범퍼카 탔어? 혜지: 롤러코스터는 탔어. 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카 중에 롤러코스터만 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터랑 범퍼카 탔어? 혜지: 롤러코스터 탔어. 롤러코스터는 탔어.,롤러코스터를 탔어.,lul,롤러코스터 탔어.,zero,random,롤러코스터는 탔어.,nun,롤러코스터 탔어.,zero,random
40,Crit5,5,CQ-Both,CQ,Both,재욱: 은숙이는 롤러코스터랑 범퍼카 탔어? 혜지:,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터랑 범퍼카 탔어? 혜지:,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다.,재욱,은숙이는 롤러코스터랑 범퍼카 탔어?,혜지,롤러코스터를 탔어.,롤러코스터 탔어.,롤러코스터는 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,롤러코스터만 탔어.,롤러코스터랑 범퍼카를 둘 다 탔어.,아래에 주어진 두 개의 문장들 중 혜지가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 혜지가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 혜지가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터랑 범퍼카 탔어? 혜지: 롤러코스터를 탔어. 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터랑 범퍼카 탔어? 혜지: 롤러코스터 탔어. 롤러코스터를 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터랑 범퍼카 탔어? 혜지: 롤러코스터는 탔어. 롤러코스터 탔어.,혜지는 은숙이가 롤러코스터와 범퍼카를 둘 다 탔다고 답하려고 합니다. 재욱: 은숙이는 롤러코스터랑 범퍼카 탔어? 혜지: 롤러코스터 탔어. 롤러코스터는 탔어.,롤러코스터랑 범퍼카 둘 다 탔어.,both,롤러코스터 탔어. 롤러코스터를 탔어.,lul,random,롤러코스터는 탔어. 롤러코스터 탔어.,nun,롤러코스터랑 범퍼카 둘 다 탔어.,both,random
41,Crit6,6,WhQ-One,WhQ,One,주현: 상엽이는 뭘 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 뭘 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료를 모았어.,인터뷰 자료 모았어.,인터뷰 자료는 모았어.,인터뷰 자료만 모았어.,인터뷰 자료만 모았어.,인터뷰 자료랑 설문 자료를 둘 다 모았어.,아래에 주어진 두 개의 문장들 중 민수가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 민수가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 민수가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료를 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료를 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료는 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료는 모았어.,인터뷰 자료 모았어.,zero,인터뷰 자료를 모았어.,lul,random,인터뷰 자료는 모았어.,nun,인터뷰 자료 모았어.,zero,random
42,Crit6,6,WhQ-Both,WhQ,Both,주현: 상엽이는 뭘 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 뭘 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다.,주현,상엽이는 뭘 모았어?,민수,인터뷰 자료를 모았어.,인터뷰 자료 모았어.,인터뷰 자료는 모았어.,인터뷰 자료랑 설문 자료를 둘 다 모았어.,인터뷰 자료만 모았어.,인터뷰 자료랑 설문 자료를 둘 다 모았어.,아래에 주어진 두 개의 문장들 중 민수가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 민수가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 민수가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료를 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료를 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료는 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 뭘 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료는 모았어.,인터뷰 자료를 모았어.,lul,인터뷰 자료를 모았어.,lul,lul,인터뷰 자료는 모았어.,nun,인터뷰 자료는 모았어.,nun,nun
43,Crit6,6,LinkedWhQ-One,LinkedWhQ,One,주현: 상엽이는 인터뷰 자료랑 설문 자료 중에 뭘 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 중에 뭘 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다.,주현,상엽이는 인터뷰 자료랑 설문 자료 중에 뭘 모았어?,민수,인터뷰 자료를 모았어.,인터뷰 자료 모았어.,인터뷰 자료는 모았어.,인터뷰 자료만 모았어.,인터뷰 자료만 모았어.,인터뷰 자료랑 설문 자료를 둘 다 모았어.,아래에 주어진 두 개의 문장들 중 민수가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 민수가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 민수가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 중에 뭘 모았어? 민수: 인터뷰 자료를 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 중에 뭘 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료를 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 중에 뭘 모았어? 민수: 인터뷰 자료는 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 중에 뭘 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료는 모았어.,인터뷰 자료를 모았어.,lul,인터뷰 자료를 모았어.,lul,lul,인터뷰 자료는 모았어.,nun,인터뷰 자료 모았어.,zero,random
44,Crit6,6,LinkedWhQ-Both,LinkedWhQ,Both,주현: 상엽이는 인터뷰 자료랑 설문 자료 중에 뭘 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 중에 뭘 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다.,주현,상엽이는 인터뷰 자료랑 설문 자료 중에 뭘 모았어?,민수,인터뷰 자료를 모았어.,인터뷰 자료 모았어.,인터뷰 자료는 모았어.,인터뷰 자료랑 설문 자료를 둘 다 모았어.,인터뷰 자료만 모았어.,인터뷰 자료랑 설문 자료를 둘 다 모았어.,아래에 주어진 두 개의 문장들 중 민수가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 민수가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 민수가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 중에 뭘 모았어? 민수: 인터뷰 자료를 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 중에 뭘 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료를 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 중에 뭘 모았어? 민수: 인터뷰 자료는 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 중에 뭘 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료는 모았어.,인터뷰 자료를 모았어.,lul,인터뷰 자료를 모았어.,lul,lul,인터뷰 자료 모았어.,zero,인터뷰 자료는 모았어.,nun,random
45,Crit6,6,DQ-One,DQ,One,주현: 상엽이는 인터뷰 자료나 설문 자료 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료나 설문 자료 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다.,주현,상엽이는 인터뷰 자료나 설문 자료 모았어?,민수,인터뷰 자료를 모았어.,인터뷰 자료 모았어.,인터뷰 자료는 모았어.,인터뷰 자료만 모았어.,인터뷰 자료만 모았어.,인터뷰 자료랑 설문 자료를 둘 다 모았어.,아래에 주어진 두 개의 문장들 중 민수가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 민수가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 민수가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료나 설문 자료 모았어? 민수: 인터뷰 자료를 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료나 설문 자료 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료를 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료나 설문 자료 모았어? 민수: 인터뷰 자료는 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료나 설문 자료 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료는 모았어.,인터뷰 자료를 모았어.,lul,인터뷰 자료 모았어.,zero,random,인터뷰 자료는 모았어.,nun,인터뷰 자료 모았어.,zero,random
46,Crit6,6,DQ-Both,DQ,Both,주현: 상엽이는 인터뷰 자료나 설문 자료 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료나 설문 자료 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다.,주현,상엽이는 인터뷰 자료나 설문 자료 모았어?,민수,인터뷰 자료를 모았어.,인터뷰 자료 모았어.,인터뷰 자료는 모았어.,인터뷰 자료랑 설문 자료를 둘 다 모았어.,인터뷰 자료만 모았어.,인터뷰 자료랑 설문 자료를 둘 다 모았어.,아래에 주어진 두 개의 문장들 중 민수가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 민수가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 민수가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료나 설문 자료 모았어? 민수: 인터뷰 자료를 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료나 설문 자료 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료를 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료나 설문 자료 모았어? 민수: 인터뷰 자료는 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료나 설문 자료 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료는 모았어.,인터뷰 자료를 모았어.,lul,인터뷰 자료를 모았어.,lul,lul,인터뷰 자료는 모았어.,nun,인터뷰 자료는 모았어.,nun,nun
47,Crit6,6,CQ-One,CQ,One,주현: 상엽이는 인터뷰 자료랑 설문 자료 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다.,주현,상엽이는 인터뷰 자료랑 설문 자료 모았어?,민수,인터뷰 자료를 모았어.,인터뷰 자료 모았어.,인터뷰 자료는 모았어.,인터뷰 자료만 모았어.,인터뷰 자료만 모았어.,인터뷰 자료랑 설문 자료를 둘 다 모았어.,아래에 주어진 두 개의 문장들 중 민수가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 민수가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 민수가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 모았어? 민수: 인터뷰 자료를 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료를 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 모았어? 민수: 인터뷰 자료는 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료 중에 인터뷰 자료만 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료는 모았어.,인터뷰 자료를 모았어.,lul,인터뷰 자료 모았어.,zero,random,인터뷰 자료는 모았어.,nun,인터뷰 자료는 모았어.,nun,nun
48,Crit6,6,CQ-Both,CQ,Both,주현: 상엽이는 인터뷰 자료랑 설문 자료 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 모았어? 민수:,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다.,주현,상엽이는 인터뷰 자료랑 설문 자료 모았어?,민수,인터뷰 자료를 모았어.,인터뷰 자료 모았어.,인터뷰 자료는 모았어.,인터뷰 자료랑 설문 자료를 둘 다 모았어.,인터뷰 자료만 모았어.,인터뷰 자료랑 설문 자료를 둘 다 모았어.,아래에 주어진 두 개의 문장들 중 민수가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 민수가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 민수가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 모았어? 민수: 인터뷰 자료를 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료를 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 모았어? 민수: 인터뷰 자료는 모았어. 인터뷰 자료 모았어.,민수는 상엽이가 인터뷰 자료와 설문 자료를 둘 다 모았다고 답하려고 합니다. 주현: 상엽이는 인터뷰 자료랑 설문 자료 모았어? 민수: 인터뷰 자료 모았어. 인터뷰 자료는 모았어.,인터뷰 자료를 모았어.,lul,인터뷰 자료 모았어.,zero,random,인터뷰 자료는 모았어.,nun,인터뷰 자료 모았어.,zero,random
49,Crit7,7,WhQ-One,WhQ,One,영환: 진혁이는 뭘 옮겼어? 지연:,지연이는 진혁이가 탁자와 소파 중에 탁자만 옮겼다고 답하려고 합니다. 영환: 진혁이는 뭘 옮겼어? 지연:,지연이는 진혁이가 탁자와 소파 중에 탁자만 옮겼다고 답하려고 합니다.,영환,진혁이는 뭘 옮겼어?,지연,탁자를 옮겼어.,탁자 옮겼어.,탁자는 옮겼어.,탁자만 옮겼어.,탁자만 옮겼어.,탁자랑 소파를 둘 다 옮겼어.,아래에 주어진 두 개의 문장들 중 지연이가 답장으로 보내기에 더 적절한 것은 무엇입니까?,주어진 답장들은 지연이가 말해야 하는 모든 것을 나타내지 않을 수 있습니다. 이와 상관 없이 지연이가 보내기에 최선이라고 생각하는 답장을 골라 주세요.,지연이는 진혁이가 탁자와 소파 중에 탁자만 옮겼다고 답하려고 합니다. 영환: 진혁이는 뭘 옮겼어? 지연: 탁자를 옮겼어. 탁자 옮겼어.,지연이는 진혁이가 탁자와 소파 중에 탁자만 옮겼다고 답하려고 합니다. 영환: 진혁이는 뭘 옮겼어? 지연: 탁자 옮겼어. 탁자를 옮겼어.,지연이는 진혁이가 탁자와 소파 중에 탁자만 옮겼다고 답하려고 합니다. 영환: 진혁이는 뭘 옮겼어? 지연: 탁자는 옮겼어. 탁자 옮겼어.,지연이는 진혁이가 탁자와 소파 중에 탁자만 옮겼다고 답하려고 합니다. 영환: 진혁이는 뭘 옮겼어? 지연: 탁자 옮겼어. 탁자는 옮겼어.,탁자를 옮겼어.,lul,탁자를 옮겼어.,lul,lul,탁자 옮겼어.,zero,탁자 옮겼어.,zero,zero
